,곡률,0.70,,,,,,,거래일자,종가,매매모드,변동률,매수예정,LOC 매수목표,목표량,매수가,매수량,매수금액,수수료,목표가,MOC,MOC매도,,매도일,매도가,매도량,매도금액,수수료,당일실현,손익금액,손익률,누적손익,갱신,복리금액,자금갱신,시드증액,입출금,예수금,보유량,평가금,총자산,수익률,DD,예상수,실제수,절감액,비       고,,매도추출,목표가,매도량,,,매수가,수량,,매도가,수량,,유형,매매가,수량,%,,07.10.,주문가,수량,%,체결,%p,%     ,,,,매도추출,목표가,매도량,,,,매수가,수량,,매도가,수량,,"=calculateOrders(CF10:CH30,CC10:CE30)",,,
,,,,,,,,,11.05.(수),46.83 ,안전 ,9.4% ,"1,180.71 ",44.08 ,26 , , , ,, ,,,0,,, , ,,92.65, ,, ,FALSE,,8265.00,,,"7,326.60 ",23 ,"1,077.09 ","8,403.69 ",1.7% ,0.0% , , , ,,0,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.06.(목),43.01 ,안전 ,-8.2% ,"1,180.71 ",48.23 ,24 ,43.01 ,24 ,"1,032.24 ",,43.10 ,FALSE,12. 19.(금),9,11.10.(월),44.96 ,24 ,"1,079.04 ",,0.00,46.80 ,4.5% ,225.74 ,FALSE,,8265.00,,,"6,294.36 ",47 ,"2,021.47 ","8,315.83 ",0.6% ,-1.0% ,0.95 ,0.00 ,0.95 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.07.(금),41.74 ,안전 ,-3.0% ,"1,180.71 ",44.30 ,26 ,41.74 ,26 ,"1,085.24 ",,41.82 ,FALSE,12. 22.(월),9,11.10.(월),44.96 ,26 ,"1,168.96 ",,0.00,83.72 ,7.7% ,309.46 ,FALSE,,8265.00,,,"5,209.12 ",73 ,"3,047.02 ","8,256.14 ",-0.1% ,-1.8% ,1.01 ,0.00 ,1.01 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.10.(월),44.96 ,안전 ,7.7% ,"1,180.71 ",42.99 ,27 , , , ,, ,,,0,,, , ,,130.46, ,, ,TRUE,247.46,8512.46,,,"7,457.12 ",23 ,"1,034.08 ","8,491.20 ",2.7% ,0.0% , , , ,,0,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.11.(화),41.81 ,안전 ,-7.0% ,"1,216.07 ",46.31 ,26 ,41.81 ,26 ,"1,087.06 ",,41.89 ,FALSE,12. 24.(수),9,11.12.(수),43.71 ,26 ,"1,136.46 ",,0.00,49.40 ,4.5% ,358.86 ,FALSE,,8512.46,,,"6,370.06 ",49 ,"2,048.69 ","8,418.75 ",1.9% ,-0.9% ,1.00 ,0.00 ,1.00 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.12.(수),43.71 ,안전 ,4.5% ,"1,216.07 ",43.06 ,28 , , , ,, ,,,0,,, , ,,49.38, ,, ,FALSE,,8512.46,,,"7,506.52 ",23 ,"1,005.33 ","8,511.85 ",3.0% ,0.0% , , , ,,0,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.13.(목),39.22 ,안전 ,-10.3% ,"1,216.07 ",45.02 ,27 ,39.22 ,27 ,"1,058.94 ",,39.30 ,FALSE,12. 29.(월),9,11.28.(금),41.26 ,27 ,"1,114.02 ",,0.00,55.08 ,5.2% ,413.94 ,FALSE,,8512.46,,,"6,447.58 ",50 ,"1,961.00 ","8,408.58 ",1.7% ,-1.2% ,0.98 ,0.00 ,0.98 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.14.(금),38.86 ,안전 ,-0.9% ,"1,216.07 ",40.40 ,30 ,38.86 ,30 ,"1,165.80 ",,38.94 ,FALSE,12. 30.(화),9,11.26.(수),39.19 ,30 ,"1,175.70 ",,0.00,9.90 ,0.8% ,423.84 ,FALSE,,8512.46,,,"5,281.78 ",80 ,"3,108.80 ","8,390.58 ",1.5% ,-1.4% ,1.05 ,0.00 ,1.05 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.17.(월),36.84 ,안전 ,-5.2% ,"1,216.07 ",40.03 ,30 ,36.84 ,30 ,"1,105.20 ",,36.91 ,FALSE,12. 31.(수),9,11.26.(수),39.19 ,30 ,"1,175.70 ",,0.00,70.50 ,6.4% ,494.34 ,FALSE,,8512.46,,,"4,176.58 ",110 ,"4,052.40 ","8,228.98 ",-0.4% ,-3.3% ,1.02 ,0.00 ,1.02 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.18.(화),34.35 ,안전 ,-6.8% ,"1,216.07 ",37.95 ,32 ,34.35 ,32 ,"1,099.20 ",,34.42 ,FALSE,01. 02.(금),9,11.19.(수),35.96 ,32 ,"1,150.72 ",,0.00,51.52 ,4.7% ,545.86 ,FALSE,,8512.46,,,"3,077.38 ",142 ,"4,877.70 ","7,955.08 ",-3.7% ,-6.5% ,1.01 ,0.00 ,1.01 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.19.(수),35.96 ,안전 ,4.7% ,"1,216.07 ",35.38 ,34 , , , ,, ,,,0,,, , ,,51.50, ,, ,FALSE,,8512.46,,,"4,228.10 ",110 ,"3,955.60 ","8,183.70 ",-1.0% ,-3.9% , , , ,,0,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.20.(목),30.81 ,안전 ,-14.3% ,"1,216.07 ",37.04 ,32 ,30.81 ,32 ,985.92 ,,30.87 ,FALSE,01. 06.(화),9,11.21.(금),31.73 ,32 ,"1,015.36 ",,0.00,29.44 ,3.0% ,575.30 ,FALSE,,8512.46,,,"3,242.18 ",142 ,"4,375.02 ","7,617.20 ",-7.8% ,-10.5% ,0.90 ,0.00 ,0.90 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.21.(금),31.73 ,안전 ,3.0% ,"1,216.07 ",31.73 ,38 ,31.73 ,38 ,"1,205.74 ",,31.79 ,FALSE,01. 07.(수),9,11.24.(월),35.86 ,38 ,"1,362.68 ",,29.43,156.94 ,13.0% ,732.24 ,FALSE,,8512.46,,,"3,051.80 ",148 ,"4,696.04 ","7,747.84 ",-6.3% ,-9.0% ,1.16 ,0.00 ,1.16 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.24.(월),35.86 ,안전 ,13.0% ,"1,216.07 ",32.68 ,37 , , , ,, ,,,0,,, , ,,156.87, ,, ,TRUE,229.74,8742.20,,,"4,414.48 ",110 ,"3,944.60 ","8,359.08 ",1.1% ,-1.8% , , , ,,0,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.25.(화),36.17 ,안전 ,0.9% ,"1,248.89 ",36.94 ,33 ,36.17 ,33 ,"1,193.61 ",,36.24 ,FALSE,01. 09.(금),9,11.26.(수),39.19 ,33 ,"1,293.27 ",,0.00,99.66 ,8.3% ,831.90 ,FALSE,,8742.20,,,"3,220.87 ",143 ,"5,172.31 ","8,393.18 ",1.6% ,-1.4% ,1.12 ,0.00 ,1.12 ,,9,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.26.(수),39.19 ,안전 ,8.3% ,"1,248.89 ",37.26 ,33 , , , ,, ,,,0,,, , ,,179.98, ,, ,FALSE,,8742.20,,,"6,865.54 ",50 ,"1,959.50 ","8,825.04 ",6.8% ,0.0% , , , ,,0,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,11.28.(금),41.26 ,안전 ,5.3% ,"1,248.89 ",40.37 ,30 , , , ,, ,,,0,,, , ,,55.05, ,, ,FALSE,,8742.20,,,"7,979.56 ",23 ,948.98 ,"8,928.54 ",8.0% ,0.0% , , , ,,0,,,,,,,,,,,,,,,,,,,,,FALSE,, ,,,,,,,,,,,,,,,,,,,
